Year,Place,Amount,,,,,
2017,Brighton,329
2016,Brighton,455
2015,Brighton,807
2014,Brighton,622
2013,Brighton,682
2017,South Boston,19888
2016,South Boston,18252
2015,South Boston,13959
2014,South Boston,8820
2013,South Boston,7964
