Place,Amount
matapan,198372
back bay,93532
charlestown,125680
dorchester,427191
allston,302544
hyde park,199632
jamaica plain,284272
south end,187808
west roxbury,203060
roslinade,177352
beacon hill,105061
brighton,12516
roxbury,372892
south boston,298103
east boston,228732
